UF,CÃ³digo Mantenedora,RazÃ£o Social,CNPJ,Natureza JurÃ­dica,CÃ³digo IES,InstituiÃ§Ã£o(IES),Sigla,Telefone,Sitio,e-Mail,EndereÃ§o Sede,MunicÃ­pio,UF,OrganizaÃ§Ã£o AcadÃªmica,Tipo de Credenciamento,Categoria,Categoria Administrativa,Data do Ato de Criação da IES,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Reitor/Dirigente Principal,Representante Legal,Sinalizações Vigentes,SituaÃ§Ã£o da IES
AC,15014,"INSTITUTO FEDERAL DE EDUCACAO,CIENCIA E TECNOLOGIA DO ACRE",10.918.674/0001-23,Pessoa Jurídica de Direito Público - Federal,15507,"Instituto Federal de Educação, Ciência e Tecnologia do Acre (IFAC)",IFAC,(68)3222-8291,www.ifac.edu.br,reitoria@ifac.edu.br,Via Chico Mendes - 3084 - CEP: 69906-302 - Areal,Rio Branco,AC,"Instituto Federal de Educação, Ciência e Tecnologia",Presencial - Superior,Publica,Pública Federal,2008-12-30,5,2021,-,,3,2022,,,,Ativa
AC,381,FUNDACAO UNIVERSIDADE FEDERAL DO ACRE,04.071.106/0001-37,Pessoa Jurídica de Direito Público - Federal,549,UNIVERSIDADE FEDERAL DO ACRE (UFAC),UFAC,(68) 3901 2571,http://www.ufac.br,reitoria@ufac.br,Campus Universitário - 6637 - CEP: 69915-900 - Distrito Industrial,Rio Branco,AC,Universidade,EAD - Superior / Presencial - Superior,Publica,Pública Federal,1971-05-03,4,2016,4,2023,4,2022,,,,Ativa
AP,15022,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAPA",10.820.882/0001-95,Pessoa Jurídica de Direito Público - Federal,15522,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ (IFAP)",IFAP,096-3198.2150,www.ifap.edu.br,reitoria@ifap.edu.br,"Rodovia BR-210, Km 3 - s/n - CEP: 68909-398 - Brasil Novo",Macapá,AP,"Instituto Federal de Educação, Ciência e Tecnologia",EAD - Superior / Presencial - Superior,Publica,Pública Federal,2008-12-30,4,2017,4,2016,3,2022,,,,Ativa
AP,3666,GOVERNO DO ESTADO DO AMAPA,00.394.577/0001-25,Pessoa Jurídica de Direito Público - Estadual,5701,UNIVERSIDADE DO ESTADO DO AMAPÁ (UEAP),UEAP,(96) 2101-0515,www.ueap.edu.br,gabinete@ueap.edu.br,Avenida Presidente Getúlio Vargas - 650 - CEP: 68900-070 - Central,Macapá,AP,Universidade,Presencial - Superior,Publica,Pública Estadual,2006-05-31,-,,-,,3,2022,,,,Ativa
AP,574,FUNDACAO UNIVERSIDADE FEDERAL DO AMAPA,34.868.257/0001-81,Pessoa Jurídica de Direito Público - Federal,830,UNIVERSIDADE FEDERAL DO AMAPÁ (UNIFAP),UNIFAP,(96) 3312-1705,www.unifap.br,unifap@unifap.br,RODOVIA JOSMAR CHAVES PINTO - KM 02 - S/N - CEP: 68903-419 - JARDIM MARCO ZERO,Macapá,AP,Universidade,EAD - Superior / Presencial - Superior,Publica,Pública Federal,1990-03-05,2,2015,4,2019,3,2022,,,,Ativa
AM,16583,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAZONAS",10.792.928/0001-00,Pessoa Jurídica de Direito Público - Federal,1812,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS (IFAM)",IFAM,(92)3303-0003 / 3306-0054 / 3306-0055,http://www2.ifam.edu.br/,gabinete@ifam.edu.br; cpei.proen@ifam.edu.br; proen@ifam.edu.br,Avenida Sete de Setembro - 1975 - CEP: 69020-120 - CENTRO,Manaus,AM,"Instituto Federal de Educação, Ciência e Tecnologia",EAD - Superior / Presencial - Superior,Publica,Pública Federal,2001-03-27,4,2012,4,2020,4,2022,,,,Ativa
AM,2015,UNIVERSIDADE DO ESTADO DO AMAZONAS,04.280.196/0001-76,Pessoa Jurídica de Direito Público - Estadual,3172,UNIVERSIDADE DO ESTADO DO AMAZONAS (UEA),UEA,92-99517-3052,www.uea.edu.br,gabinetechefia@uea.edu.br,Avenida Djalma Batista - 2490 - CEP: 69005-010 - Flores,Manaus,AM,Universidade,EAD - Superior / Presencial - Superior,Publica,Pública Estadual,2001-01-12,-,,3,2023,3,2022,,,,Ativa
AM,4,FUNDACAO UNIVERSIDADE DO AMAZONAS,04.378.626/0001-97,Pessoa Jurídica de Direito Público - Federal,4,UNIVERSIDADE FEDERAL DO AMAZONAS (UFAM),UFAM,(92) 3305-4513,www.ufam.edu.br,gabinete@ufam.edu.br,Av. Rodrigo Otávio - 6200 - CEP: 69077-000 - Coroado II,Manaus,AM,Universidade,EAD - Superior / Presencial - Superior,Publica,Pública Federal,1962-06-27,4,2019,-,,4,2022,,,,Ativa
PA,5002,"INSTITUTO FEDERAL DE EDUCACAO,CIENCIA E TECNOLOGIA DO PARA",10.763.998/0001-30,Pessoa Jurídica de Direito Público - Federal,1813,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ (IFPA)",IFPA,(91) 3342-0554,www.ifpa.edu.br,gabinete.reitoria@ifpa.edu.br,Avenida João Paulo II - 514 - CEP: 66840-690 - Castanheira,Belém,PA,"Instituto Federal de Educação, Ciência e Tecnologia",Presencial - Superior,Publica,Pública Federal,1999-03-23,4,2018,-,,4,2022,,,,Ativa
PA,34,UNIVERSIDADE DO ESTADO DO PARA UEP,34.860.833/0001-44,Pessoa Jurídica de Direito Público - Estadual,38,UNIVERSIDADE DO ESTADO DO PARÁ (UEPA),UEPA,(91)32849602,www.uepa.br,gabinete@uepa.br,Travessa Djalma Dutra - S/N - CEP: 66113-010 - Telégrafo Sem Fio,Belém,PA,Universidade,EAD - Superior / Presencial - Superior,Publica,Pública Estadual,1993-05-18,-,,3,2014,SC,2014,,,,Ativa
PA,14677,UNIVERSIDADE FEDERAL DO OESTE DO PARA,11.118.393/0001-59,Pessoa Jurídica de Direito Público - Federal,15059,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ (UFOPA),UFOPA,9321014911.21014918.21016522,www.ufopa.edu.br,regulacaodecurso.proen@ufopa.edu.br; reitoria@ufopa.edu.br,Avenida Vera Paz - s/n - CEP: 68040-255 - Salé,Santarém,PA,Universidade,EAD - Superior / Presencial - Superior,Publica,Pública Federal,2009-11-06,4,2016,3,2023,4,2022,,,,Ativa
PA,15509,UNIVERSIDADE FEDERAL DO PARA,34.621.748/0001-23,Pessoa Jurídica de Direito Público - Federal,569,UNIVERSIDADE FEDERAL DO PARÁ (UFPA),UFPA,(91)32017112,www.ufpa.br,reitor@ufpa.br;dinfi@ufpa.br;cpa.ufpa@gmail.com;pi@ufpa.br,RUA AUGUSTO CORREA - 01 - CEP: 66075-110 - GUAMÁ,Belém,PA,Universidade,EAD - Superior / Presencial - Superior,Publica,Pública Federal,1957-07-02,4,2014,3,2013,4,2022,,,,Ativa
PA,16047,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARA - UNIFESSPA,18.657.063/0001-80,Pessoa Jurídica de Direito Público - Federal,18440,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ (UNIFESSPA),UNIFESSPA,(094)21017100;(094)8112999,www.unifesspa.edu.br,gabinete@unifesspa.edu.br,"Folha 31, Quadra 7, Lote Especial s/n - 7 - CEP: 68507-670 - Nova Marabá",Marabá,PA,Universidade,EAD - Superior / Presencial - Superior,Publica,Pública Federal,2013-06-06,4,2019,-,,4,2022,,,,Ativa
